FP_REGION,QUINQUENNIUM,NRTN_|CORN-SOYBEANS|,NRTN_SOYBEANS,NRTN_|WHEAT-SOYBEANS|,NRTN_|OTHER CROPS-SOYBEANS|,NRTN_|PASTURE/RANGE-SOYBEANS|,NRTN_|FOREST-SOYBEANS|,LUSHR_SOYBEANS
CORN BELT & LAKE STATES,1992-1997,0.03650915590657429,0.45909485543954937,0.4038467708451092,0.1315855707484976,0.30814453277403625,0.26359132907842653,0.2976978218913703
CORN BELT & LAKE STATES,1997-2002,0.10629982135026847,0.41800881093520215,0.3526341822322553,0.09338083232897239,0.24316833380517552,0.2191605153833203,0.28848571331498657
CORN BELT & LAKE STATES,2002-2007,0.059887145209423495,0.4834729484414767,0.3330980934286885,0.13753187626233596,0.39109065855751524,0.2596127778924723,0.2241554626595865
CORN BELT & LAKE STATES,2007-2012,0.22692179090402548,0.9742681823956837,0.8889119008722618,0.4774565062226729,1.0,0.5764470768589428,0.30379093068897844
CORN BELT & LAKE STATES,2012-2017,0.17366948316570976,1.0,0.8751851617151647,0.434800883176937,0.8955036008460799,0.5918271690103083,0.335627781803126
MOUNTAIN,1992-1997,0.5164881941432842,0.0,0.321601953738515,0.23936050313922147,0.0,0.12081987367287295,0.0
MOUNTAIN,1997-2002,0.3683964573552082,0.0,0.17798362170443832,0.2430417890316267,0.0013055825093922892,0.09352425260836011,0.0
MOUNTAIN,2002-2007,0.4634035993972471,0.0,0.2161226706583108,0.2648035079919391,0.002799350044821045,0.04375172884824266,0.0
MOUNTAIN,2007-2012,1.0,0.0,0.6358776791259653,0.3831910926257827,0.003853785820024309,0.0,0.0
MOUNTAIN,2012-2017,0.7789656059858282,0.0,0.5453430389910134,0.47883850927126825,0.007212516467201519,0.005835166244443759,0.0
NORTHEAST,1992-1997,0.06990541136190087,0.3324000591492718,0.0,0.04680808122698533,0.15340718162990066,0.21877238102811725,0.0
NORTHEAST,1997-2002,0.17040301540289166,0.30387607146554796,0.10746885667151576,0.0,0.05915907364251818,0.41325519503515423,0.05893909626719057
NORTHEAST,2002-2007,0.12694654070744602,0.37175958982234986,0.1852925841617939,0.016246042569833554,0.11762419949139574,0.6356080387480163,0.004464285714285715
NORTHEAST,2007-2012,0.18192186803902016,0.7607014458675866,0.49834076142835626,0.3283054989865341,0.6039873769206392,0.09714906289810962,0.11837455830388692
NORTHEAST,2012-2017,0.38825667090231225,0.8567645333060038,0.6663846958452592,0.31150647757240346,0.5131979708468161,0.3614865523837102,0.03292181069958848
NORTHERN PLAINS,1992-1997,0.0023989776021937875,0.3512237203661887,0.24846110172784458,0.11913097076464682,0.4248144905462994,0.1925785093252311,0.0787510841283608
NORTHERN PLAINS,1997-2002,0.08708730900206038,0.32077830798863227,0.26138905758448444,0.1081234767768053,0.37789495920090477,0.17308779146815467,0.07521959668439936
NORTHERN PLAINS,2002-2007,0.0032675348517371096,0.33605283589645535,0.2574006149018388,0.12613551753447264,0.3911455693515711,0.1926006802492104,0.12262841277186488
NORTHERN PLAINS,2007-2012,0.24700629541581248,0.7724057155149039,0.6962379226696136,0.3387650597600428,0.9844250496493826,0.4720088656690509,0.14413372910482738
NORTHERN PLAINS,2012-2017,0.03508109140933207,0.7635065554132571,0.7449901628752861,0.3015567300210833,0.9531052101793596,0.46696623269375165,0.13403852226081464
PACIFIC,1992-1997,0.5551691956770711,0.0,0.6027957206363995,0.45817655094594784,0.02203803019976977,1.0,0.0
PACIFIC,1997-2002,0.3795422537907296,0.0,0.37372056939584597,0.41300882995387267,0.027203982720019417,0.5640564157544211,0.0
PACIFIC,2002-2007,0.3386139834886798,0.0,0.451860591869871,0.5573312937995174,0.029329964814492553,0.3756668462066768,0.0
PACIFIC,2007-2012,0.822146654347161,0.0,1.0,0.9561266108954813,0.04388284525366317,0.11467150787278622,0.0
PACIFIC,2012-2017,0.6823064397248899,0.0,0.8161794030629822,1.0,0.056983409318478714,0.1907425514558609,0.0
SOUTHEAST,1992-1997,0.022587782976819227,0.2978200854532237,0.11447200902812563,0.10446378892682391,0.17910585116012112,0.052102593730958754,0.12936344969199176
SOUTHEAST,1997-2002,0.0,0.23848881418647427,0.10894230307732847,0.09871068515218925,0.09381264897449934,0.041544612944052754,0.052187477841593985
SOUTHEAST,2002-2007,0.033032033300718,0.34236753097322364,0.2701279475991458,0.02622953752576287,0.2386360838149549,0.050063222653208936,0.015093177267826892
SOUTHEAST,2007-2012,0.21220829668252283,0.6179507043464165,0.4081250165586597,0.05749285364704556,0.5253485976609454,0.27769911454399787,0.10458265139116203
SOUTHEAST,2012-2017,0.007578200719134495,0.8352558809604778,0.7147628174422483,0.14692249630315754,0.7260588235141758,0.44076523337086637,0.1384835852006253
SOUTHERN PLAINS,1992-1997,0.2041258662646493,0.24114234214016758,0.18339601361411262,0.0011931311454700946,0.2845983362983277,0.0637311068858426,0.0
SOUTHERN PLAINS,1997-2002,0.170572346262827,0.15988576470461477,0.05517218059132106,0.01548830888284046,0.17257652365542636,0.20859856568375057,0.0
SOUTHERN PLAINS,2002-2007,0.17513793028827374,0.21406601452659296,0.17605346155631268,0.00017304179441272424,0.2440638206648421,0.07373095065625472,0.0
SOUTHERN PLAINS,2007-2012,0.445162764428658,0.39182135670638035,0.3499031772170417,0.05885608563487513,0.4800916826386549,0.12590742244378317,0.0
SOUTHERN PLAINS,2012-2017,0.4814916465833578,0.4417782816593349,0.5003241503179549,0.12168816399736308,0.5540946969453981,0.21847301134119196,0.0
