FP_REGION,QUINQUENNIUM,NRTN_CORN,NRTN_SOYBEANS,NRTN_WHEAT,NRTN_OTHER CROPS,NRTN_PASTURE/RANGE,NRTN_ALLOTHERS,LUSHR_CORN,LUSHR_SOYBEANS,LUSHR_WHEAT,LUSHR_OTHER CROPS,LUSHR_PASTURE/RANGE,LUSHR_FOREST,LUSHR_ALLOTHERS
PACIFIC,1997-2002,103.6309598900647,0.0,92.61712264622284,196.5746542233641,10.31396863078816,349.3776255589299,0.0,0.0,0.5217391304347826,0.28851470218647907,0.187484292535813,0.0022618748429253585,0.0
PACIFIC,2002-2007,92.73440761175456,0.0,108.1977852336264,264.0717303204363,10.9038284623346,235.2829133441293,0.0,0.0,0.0,0.4919786096256685,0.49732620320855614,0.0,0.0106951871657754
PACIFIC,2007-2012,221.4678964055992,0.0,217.4935711642433,450.5812808639403,14.94156689234333,77.21583941802774,0.0025391451544646633,0.0,0.13457469318662715,0.2551840880236987,0.596699111299196,0.0,0.011002962336013541
PACIFIC,2012-2017,184.2374882306079,0.0,180.8408213081393,471.1000927253519,18.57635597759687,123.2868817072922,0.0,0.0,0.3841170825335892,0.508637236084453,0.10724568138195778,0.0,0.0
SOUTHEAST,1992-1997,121.878448712269,113.281386504548,72.35690762103062,165.5549557918165,60.8218086691477,73.95927055402444,0.05264140377076722,0.12936344969199176,0.008026880716819115,0.1508306888183685,0.24024640657084184,0.4058241553108083,0.01306701512040321
SOUTHEAST,1997-2002,88.13024243820169,90.71363838928376,50.89175046874656,140.2965823024859,61.91890420616987,123.641505537481,0.07381408211018932,0.052187477841593985,0.013968659150535348,0.10714032475359853,0.20435368361341558,0.516627667872084,0.03190810465858328
SOUTHEAST,2002-2007,141.6035234574665,130.2258326323563,58.264471728401,145.9106195533359,61.24942095485223,92.13882463804092,0.040197135376559376,0.015093177267826892,0.016017249345448948,0.05559833667026028,0.15786231326043432,0.7116895117819191,0.0035422762975512094
SOUTHEAST,2007-2012,294.1297433193112,235.0489976970301,135.5718298936902,204.74290809692,86.52337647580062,59.09845703798926,0.11358428805237317,0.10458265139116203,0.034697217675941076,0.10818330605564647,0.1839607201309329,0.4436988543371522,0.011292962356792145
SOUTHEAST,2012-2017,322.3060279720802,317.7050471169168,157.0860986889451,245.574287712462,113.4917978958034,42.99648103109715,0.05979676915059925,0.1384835852006253,0.00846795205836373,0.06943720687858258,0.04312141740489838,0.6753517457008859,0.0053413236060448135
SOUTHERN PLAINS,1992-1997,148.6518738510446,91.72295690205468,37.05543539292384,95.69865722889739,9.994186407504298,138.087670089132,0.020761245674740483,0.0,0.12086010874938209,0.21057834898665348,0.6473059812160157,0.0,0.0004943153732081067
SOUTHERN PLAINS,1997-2002,108.8112963093565,60.81551242763111,31.71507184243774,71.47681577045627,10.16751524102515,194.916563993293,0.024948392804482453,0.0,0.14208198171630787,0.17687997640813918,0.6464169861397818,0.008139191978767326,0.0015334709525213802
SOUTHERN PLAINS,2002-2007,130.6352778482924,81.42397411568763,28.2205144601486,77.9253516235732,10.94162127702518,133.8449105847497,0.0,0.0,0.06303823630726835,0.09369617636927317,0.8250086117809162,0.00826730967964175,0.009989665862900447
SOUTHERN PLAINS,2007-2012,270.1379707249553,149.0365113630431,61.16843714937183,118.0928621566966,13.0675510566721,65.01584489155638,0.03002832861189802,0.0,0.06920275192229866,0.14658033184945365,0.7460946985026304,0.0037231889923108052,0.0043707001214083364
SOUTHERN PLAINS,2012-2017,298.8120451388907,168.0385532016994,50.17741840587505,107.7094468630117,11.53724426154462,27.95722343766868,0.012247994797311947,0.0,0.08096683286364623,0.27053977888575764,0.63082592672881,0.0,0.0054194667244743125
