FP_REGION,QUINQUENNIUM,NRTN_PASTRNG,NRTN_PASTRNG,NRTN_PASTRNG,NRTN_OTCROPS,NRTN_PASTRNG,NRTN_PASTRNG,LUSHR_PASTURE/RANGE
CORN BELT & LAKE STATES,1992-1997,0.2184288277242237,0.30814453277403625,0.03696717972511493,0.04314643882474334,0.4697385346970624,0.12547288222183559,0.19313482216708022
CORN BELT & LAKE STATES,1997-2002,0.11178011514164918,0.24316833380517552,0.07613367817667001,0.04278942083506353,0.48322424799750335,0.11068993315999195,0.20225597118880165
CORN BELT & LAKE STATES,2002-2007,0.3752896281248294,0.39109065855751524,0.11912378331653171,0.08825079787723936,0.39252714123583593,0.08315393151914684,0.24788159529996612
CORN BELT & LAKE STATES,2007-2012,0.997011358976719,1.0,0.4103423291144433,0.11046980700297893,0.4922059737148191,0.12134156113021466,0.1893915917777089
CORN BELT & LAKE STATES,2012-2017,0.5867978898670527,0.8955036008460799,0.27877855778621635,0.0903091762978429,0.7101153499496816,0.18510751369592046,0.2706241589897526
MOUNTAIN,1992-1997,0.3972023276642811,0.0,0.3831989266663682,0.24220477415822547,0.0,0.12385599531370421,0.3972602739726027
MOUNTAIN,1997-2002,0.28128691228921315,0.0013055825093922892,0.23788991550385483,0.24523534206945427,0.0020354347512192834,0.09573566528775462,0.4260595722346148
MOUNTAIN,2002-2007,0.3537671891154102,0.002799350044821045,0.2739191728371759,0.26700012427550124,0.004364254515563491,0.04486893038276788,0.4784272790535839
MOUNTAIN,2007-2012,0.7690997576540797,0.003853785820024309,0.6918445298538279,0.3897785096924437,0.0060081454258182395,0.00027480234559273123,0.42652292233619427
MOUNTAIN,2012-2017,0.5949504056371833,0.007212516467201519,0.5967187779229592,0.4874228013721798,0.01124448784773986,0.004606164413003938,0.4354914075073984
NORTHEAST,1992-1997,0.06745549127192332,0.15340718162990066,0.1214881280544379,0.035826844170728386,0.44019132359654517,0.30266318435222506,0.07905138339920949
NORTHEAST,1997-2002,0.08096110849069646,0.05915907364251818,0.08700404896393986,0.026334343474391127,0.5261617046661465,0.45519805186862905,0.21218074656188607
NORTHEAST,2002-2007,0.0,0.11762419949139574,0.08347780721157676,0.045558199927580756,0.5801015126748931,0.7063588741635644,0.3125
NORTHEAST,2007-2012,0.34477049784652253,0.6039873769206392,0.25000904197167656,0.021031928147273185,0.6531401907068638,0.16641459442202175,0.37985865724381623
NORTHEAST,2012-2017,0.11135367151234524,0.5131979708468161,0.014197184473096017,0.0,1.0,0.1294608775921281,0.15637860082304525
NORTHERN PLAINS,1992-1997,0.3391867580811979,0.4248144905462994,0.250572804861728,0.12829444709194426,0.057292819785224075,0.0,0.202601908065915
NORTHERN PLAINS,1997-2002,0.23557824630628998,0.37789495920090477,0.17242505035746283,0.11075009230202823,0.06537011685538456,0.0020204028186686265,0.23515402697018434
NORTHERN PLAINS,2002-2007,0.3314197699023616,0.3911455693515711,0.19483201477460665,0.10016657427178743,0.07735854828406248,0.015572103489596726,0.3817677001388246
NORTHERN PLAINS,2007-2012,1.0,0.9844250496493826,0.5811959178161773,0.24543569374630655,0.08504433799340394,0.023248130461375617,0.30279643805655365
NORTHERN PLAINS,2012-2017,0.7408454703537127,0.9531052101793596,0.4889427634752435,0.26485700431355286,0.1148524318838668,0.03262937957595372,0.3645011051468267
PACIFIC,1992-1997,0.40939045498028864,0.02203803019976977,0.6335101547918571,0.45671080050493884,0.0343578228065502,1.0,0.47263017356475295
PACIFIC,1997-2002,0.26899843846524185,0.027203982720019417,0.3974513968296008,0.4064238037169861,0.04241166789655479,0.5581291861021859,0.187484292535813
PACIFIC,2002-2007,0.2355360306328828,0.029329964814492553,0.4725680174183206,0.5555790498635121,0.04572612546965357,0.36722737130208555,0.49732620320855614
PACIFIC,2007-2012,0.5988017757349723,0.04388284525366317,1.0,0.9623607031694877,0.06841441852132377,0.09739070265144029,0.596699111299196
PACIFIC,2012-2017,0.4797525997352102,0.056983409318478714,0.7981253021337487,1.0,0.08883851517264307,0.16802930386354029,0.10724568138195778
SOUTHEAST,1992-1997,0.1750170438499649,0.17910585116012112,0.04284349299780216,0.22467569421650174,0.32621823339384104,0.015598477616775273,0.24024640657084184
SOUTHEAST,1997-2002,0.07350512793639981,0.09381264897449934,0.040298257190499565,0.16592184538901308,0.3323828786478885,0.09647240099761156,0.20435368361341558
SOUTHEAST,2002-2007,0.23123473417600485,0.2386360838149549,0.0,0.1799296026905295,0.3286210123303008,0.045148031188409765,0.15786231326043432
SOUTHEAST,2007-2012,0.60194815854568,0.5253485976609454,0.23081717661739304,0.25474068737822675,0.4706368757583127,0.03938111487187498,0.1839607201309329
SOUTHEAST,2012-2017,0.6054669259130679,0.7260588235141758,0.20348725172820847,0.28564517059224537,0.6221740441322036,0.11107530081375563,0.04312141740489838
SOUTHERN PLAINS,1992-1997,0.40108571276902494,0.2845983362983277,0.12064265694297714,0.18225535369156268,0.04061479251189467,0.20695214264445647,0.6473059812160157
SOUTHERN PLAINS,1997-2002,0.2845165316106977,0.17257652365542636,0.09301438742348515,0.12787156920942686,0.041588737564897206,0.3012599470642131,0.6464169861397818
