FP_REGION,QUINQUENNIUM,NRTN_OTCROPS,NRTN_OTCROPS,NRTN_OTCROPS,NRTN_OTCROPS,NRTN_OTCROPS,NRTN_OTCROPS,LUSHR_OTHER CROPS
CORN BELT & LAKE STATES,1992-1997,0.17804766874924924,0.1315855707484976,0.11025788124297453,0.10908067282491213,0.04314643882474334,0.22164701643329818,0.1503308519437552
CORN BELT & LAKE STATES,1997-2002,0.051670492536322166,0.09338083232897239,0.13680589710055727,0.1146018144227908,0.04278942083506353,0.1982895387952977,0.172663337070635
CORN BELT & LAKE STATES,2002-2007,0.294589714665061,0.13753187626233596,0.05169888444193358,0.12508243087443574,0.08825079787723936,0.20823732199520004,0.10541181787368659
CORN BELT & LAKE STATES,2007-2012,1.0,0.4774565062226729,0.1023043630468239,0.1933774804452602,0.11046980700297893,0.29325546571914624,0.15215370312984194
CORN BELT & LAKE STATES,2012-2017,0.5431237142959927,0.434800883176937,0.04262050700642933,0.26667780210852593,0.0903091762978429,0.3688588266471263,0.09269226788117171
MOUNTAIN,1992-1997,0.08121983447387462,0.23936050313922147,0.10842443163008901,0.12311890803619087,0.24220477415822547,0.0459031355645579,0.3406083120501509
MOUNTAIN,1997-2002,0.052413900507477976,0.2430417890316267,0.21369258041899475,0.1273627712677029,0.24523534206945427,0.09305911822782666,0.3790841096968901
MOUNTAIN,2002-2007,0.0,0.2648035079919391,0.22261406258629096,0.15245013520776002,0.26700012427550124,0.19722934507023973,0.291231732776618
MOUNTAIN,2007-2012,0.29432244870653856,0.3831910926257827,0.1243829956621401,0.2889298143686799,0.3897785096924437,0.40872795985893806,0.3140569395017793
MOUNTAIN,2012-2017,0.05577701585193009,0.47883850927126825,0.34209025632606915,0.39919415312278744,0.4874228013721798,0.5151645741395563,0.3286433726182441
NORTHEAST,1992-1997,0.009744821692436444,0.04680808122698533,0.01851911199363031,0.08802549873043253,0.035826844170728386,0.38472559532146405,0.5928853754940712
NORTHEAST,1997-2002,0.14988803197237938,0.0,0.11873332220682559,0.11524287781227578,0.026334343474391127,0.6324666288817457,0.5422396856581532
NORTHEAST,2002-2007,0.08342831831676796,0.016246042569833554,0.14619472974600253,0.16016136230529102,0.045558199927580756,1.0,0.6160714285714286
NORTHEAST,2007-2012,0.3628140317316413,0.3283054989865341,0.13046859758255924,0.16508272659893927,0.021031928147273185,0.19040798270839254,0.3480565371024735
NORTHEAST,2012-2017,0.1451022620352092,0.31150647757240346,0.0,0.27451727968414674,0.0,0.15742803088631802,0.13168724279835392
NORTHERN PLAINS,1992-1997,0.18933902265625777,0.11913097076464682,0.023021300976967352,0.022299136336744744,0.12829444709194426,0.1255852817485817,0.4490893321769297
NORTHERN PLAINS,1997-2002,0.09331235781733273,0.1081234767768053,0.0498105737727571,0.006443332448996597,0.11075009230202823,0.10838903853044546,0.42372881355932207
NORTHERN PLAINS,2002-2007,0.22384311512753444,0.12613551753447264,0.0178428465226703,0.0,0.10016657427178743,0.11715668344980047,0.33132808884775566
NORTHERN PLAINS,2007-2012,0.7936397184613335,0.3387650597600428,0.010604071859357992,0.16399859371222802,0.24543569374630655,0.29742122013986955,0.27142633963443213
NORTHERN PLAINS,2012-2017,0.4549893660602229,0.3015567300210833,0.07048358533232718,0.1985493231692664,0.26485700431355286,0.33448847334759824,0.2660246289864225
PACIFIC,1992-1997,0.2288615214360861,0.45817655094594784,0.2688598011123129,0.3753746162026137,0.45671080050493884,0.9792619328004807,0.31642189586114816
PACIFIC,1997-2002,0.3177418058157533,0.41300882995387267,0.3539947166647679,0.32330432446979185,0.4064238037169861,0.3517377525482857,0.28851470218647907
PACIFIC,2002-2007,0.5895550644219834,0.5573312937995174,0.5340159953058216,0.4896822738323659,0.5555790498635121,0.03134748815168978,0.4919786096256685
PACIFIC,2007-2012,0.7898812891300777,0.9561266108954813,0.8017563821049327,0.9494218410891105,0.9623607031694877,0.9215603544902103,0.2551840880236987
PACIFIC,2012-2017,0.9901144458976006,1.0,1.0,1.0,1.0,0.8555462296913073,0.508637236084453
SOUTHEAST,1992-1997,0.14691829646520382,0.10446378892682391,0.31668597691585265,0.24684184471046186,0.22467569421650174,0.19360887865333798,0.1508306888183685
SOUTHEAST,1997-2002,0.17635498873298958,0.09871068515218925,0.3035329178157652,0.18458083092454594,0.16592184538901308,0.0,0.10714032475359853
